Search terms,Timestamp,Frequency
robot,2023-02-03T15:46:44.430Z,1
robot,2023-02-03T15:49:45.315Z,2
robot,2023-02-03T15:50:23.434Z,3
hello,2023-02-03T15:50:34.382Z,1
hello,2023-02-03T15:50:44.758Z,2
robot,2023-02-03T15:52:47.312Z,4
wearable,2023-02-03T15:52:58.821Z,1
fitness,2023-02-03T16:05:54.436Z,1
watch,2023-02-06T03:43:03.120Z,1
watch,2023-02-06T03:46:06.652Z,2
y,2023-02-06T03:46:11.715Z,1
health,2023-02-06T03:52:49.161Z,1
watch,2023-02-06T20:32:04.467Z,3
health,2023-02-06T20:32:31.576Z,2
wearable,2023-02-06T20:32:48.210Z,2
robot,2023-02-06T20:33:04.507Z,5
